Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground,Summary,year,month,day,lon,lat
30/03/1977,8:39,"Near Zhadanof, Russia",Aeroflot,H-925,"Dnepropetrovsk - 	Zhdanov",Yakovlev YAK-40,CCCP-87738,9010310,27,23,4,8,5,3,0,"The crew continued their visual approach after entering an area of fog with visibility less than 500 m and losing sight of the ground. After deciding to go around, the right wing hit a 9-meter high pole. The wing caught fire and the number 2 engine failed. The fuselage hit the ground sideways in a field about 1,500 meters from the runway. The plane broke up and caught fire. The pilot-in-command decided to continue the approach below the glide under VFR mode in IMC conditions.",1977,3,30,NA,NA
25/03/1978,6:55,"Okaraba, Burma",Burma Airways,NA,Yangon - Myitkyina,Fokker F-27 Friendship 200,XY-ADK,10235,48,44,4,48,44,4,0,"After an explosion, the aircraft went spinning into the ground and crashed into a field.",1978,3,25,NA,NA
24/08/1979,NA,"Near Enisseysk, USSR",Aeroflot,NA,Norisk - Krasnoyarsk,Antonov AN-12,CCCP-12963,9346407,16,10,6,11,5,6,0,Crashed into a wooded area after all four engines flamed out. Fuel contamination.,1979,8,24,NA,NA
3/09/1979,1:01,"Andema, Russia",Aeroflot,A-513,"Arkhangelsk - 	Amderma",Antonov AN-24,CCCP-46269,77303602,44,37,7,40,35,5,0,The plane undershot the runway and crashed.,1979,9,3,NA,NA
18/09/1979,NA,"Blink Horn Point, Canada",Pacific Coastal Airlines,NA,:  Comox-Port Hardy,Britten Norman BN-7A lslander,C-FZVV,238,9,8,1,4,8,1,0,Struck high ground in thick fog.,1979,9,18,NA,NA
23/01/1980,NA,"Mt. Cemonyet,  Indonesia",Pelita Air Service,NA,Bandung - Jakarta,CASA 212 Aviocar 100,PK-PCX,45/3N,13,10,3,13,10,3,0,"Hit high ground at 2,700 ft. in poor weather while on approach.",1980,1,23,NA,NA
21/05/1981,NA,"Pinarete Mountain, Mexico",Lineas Aereas,NA,Puerto Escondido-Oaxaca,Convair CV-440-11,XA-KEH,327,24,21,3,24,21,3,0,"Crashed into a mountain at 8,800 feet obscured by clouds.",1981,5,21,NA,NA
27/08/1981,15:45,"Mt. Elena, Colombia",Aeropesca Colombia,NA,Florence - Neiva,Vickers Viscount 745D,HK-1320,112,50,44,6,50,44,6,0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.,1981,8,27,NA,NA
26/03/1982,NA,"Queate, Colombia",Aeropesca Colombia,NA,Villavicencio - Bogota,Vickers Viscount 745D,HK-2382,212,21,15,6,21,15,6,0,Crashed into a mountain during poor weather conditions.,1982,3,26,NA,NA
28/06/1982,10:49,"Southern Belarus, USSR",Aeroflot,8641,Leningrad - Kiev,Yakovlev YAK-42,CCCP-42529,8040104,132,124,8,132,124,8,0,"From an altitude of 30,000 ft., a malfunction occurred causing the aircraft to crash 125 miles from its destination. In-flight failure and jamming of stabilizer screw-jack mechanism due to wear.",1982,6,28,NA,NA
3/07/1982,NA,"Oganda, Gabon",Air Affaires Gabon,NA,Booué-Ndjolé-Libreville,Cessna 404 Titan,TR-LYQ,404--425,12,NULL,NULL,12,NULL,NULL,0,NA,1982,7,3,NA,NA
6/09/1984,NA,"Mt. Musaka, Papua, New Guinea",Talair,NA,Wewak-Tabubil-Telefomin-Kiunga,Britten-Norman BN-2A-20 Islander,P2-ISG,756,11,9,2,9,7,2,0,Crashed into Mt. Musaka.,1984,9,6,NA,NA
21/09/1984,NA,"Near Sarakchar, Afghanistan",Military - Russian Air Force,NA,NA,Antonov AN-12,NA,NA,50,45,5,50,45,5,0,Shot down by Afghan rebels.,1984,9,21,NA,NA
10/07/1985,23:46,"Near Uchuduk, Uzbekistan, USSR",Aeroflot,7425,Karshi - Leningrad,Tupolev TU-154B-2,CCCP-85311,311,200,191,9,200,191,9,0,"The crew climbed to the cruising altitude of FL380  at an airspeed of which is close to stall speed. During cruise flight vibrations started because of the low airspeed but were assumed by the crew to be  caused by engine surges. They reduced power to idle, causing the airspeed to drop. Trying to maintain altitude, the airplane eventually stalled, went into a flat spin and crashed.",1985,7,10,NA,NA
5/04/1988,NA,"Combi, Cyprus",Kuwait Airways,NA,Bangkok - Kuwait,Boeing B-747-200,9K-ADA,21541,112,NULL,NULL,2,NULL,NULL,0,Hijacking. Two hostages killed on the ground.,1988,4,5,NA,NA
27/04/1988,NA,"Near Tchamulate, Angola",Military - Cuban Air Force,NA,NA,Antonov AN-26,14-27,7007,29,26,3,29,26,3,0,Shot down with a surface-to-air missile.,1988,4,27,NA,NA
28/06/1989,9:30,"Near Borana, Somalia",Somali Airlines,NA,Hargeisa - Mogadishu,Fokker F-27 Friendship 600RF,6O-SAZ,10559,30,24,6,30,24,6,0,Crashed after takeoff.  Shot down by a surface-to-air missile.,1989,6,28,NA,NA
19/07/1989,11:02,"Talourow Island, USSR",Aeroflot,NA,Observation flight out of Cape Schmidt,Antonov AN-26,CCCP-26685,8805,10,6,4,10,6,4,0,Crashed into costal cliffs while on an ice observation flight.,1989,7,19,NA,NA
28/09/1989,20:08,"Semyonovka ,Ukraine",MAP,NA,"Mukachevo - 	Moscow",Antonov An-32,CCCP-48095,1705,9,4,5,9,4,5,0,Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.,1989,9,28,NA,NA
18/10/1989,NA,"Nasosny, Russia",Military - Russian Air Force,NA,NA,Ilyushin IL-76MD,CCCP-76569,33448421,57,50,7,57,50,7,0,Crashed into the Caspian sea after reporting an engine fire.,1989,10,18,NA,NA
14/11/1990,19:11,"Stadelberg, Switzerland",Alitalia,404,Milano - Zürich,McDonnell Douglas DC-9-32,I-ATJA,47641/746,46,40,6,46,40,6,0,"The aircraft continued to descend after intercepting the glide slope and hit high ground 6 miles from the airport. False indication of VHF NAV on unit No.1 in the aircraft. Possible misread altimeter by the pilot-in-command. Lack of GPWS warning in the cockpit. Crew was not aware of the possibility of incorrect indications in the NAV equipment in use. Non-compliance with basic procedural instructions during the approach. ATC  did not observe the leaving of the cleared altitude of 4,000 ft.",1990,11,14,NA,NA
10/01/1991,18:00,"Near Paramo Mucuti, Venezuela",Military - Venezuelan Navy,NA,Caracas - Merida,CASA 212 Aviocar 200,ARV-0209,264,22,19,3,21,18,3,0,"Crashed into Paramo Mucuti Mountain, 35 miles from it's destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident.",1991,1,10,NA,NA
4/04/1992,NA,"Near Baikov, Russia",Kamchatavia,NA,Petropavlovsk -Baikov,Let 410UVP,CCCP-67130,800326,12,10,2,1,1,0,0,The cargo plane crashed into high ground 5 km short of the runway in poor weather during a VFR approach.,1992,4,4,NA,NA
14/07/1992,NA,"Near Bir Fadl, Yemen",Military - Unified Yemen Air Force,NA,Nakhichevan - Rostov,Antonov An-12,NA,NA,57,50,7,57,50,7,0,Crashed while in a holding pattern and attempting to land at Aden Airport during a sandstorm.,1992,7,14,NA,NA
24/07/1992,16:30,"Mt. Lalaboy,  Indonesia",Mandala Airlines,660,Jakarta - Surabaya - Ujung Pandang - Ambon,Vickers Viscount 816,PK-RVU,434,70,63,7,70,63,7,0,"Crashed into Mt. Lataboy at 2,800 ft. during an approach to Ambon in a severe rainstorm.",1992,7,24,NA,NA
10/02/1993,NA,"Near Daraim, Afghanistan",Military - Afghan Republican Air Force,NA,Faisabad - Daraim,Mil Mi-8,NA,NA,30,NULL,NULL,30,NULL,NULL,0,The helicopter crashed while en route. Overloaded and poorly maintained.,1993,2,10,NA,NA
23/04/1993,NA,"Zavnah, Mongolia",MIAT - Mongolian Airlines,NA,Ulan Bator - Bayan Olgiy,Antonov AN-26B,BHMAY-14102,14102,40,34,6,32,26,6,0,Flew into the side of Marz Mountain while descending.,1993,4,23,NA,NA
9/06/1993,NA,"Gulgubip, Papua New Guinea",Southwest Air,NA,NA,Britten-Norman  BN-2A-20 Trislander,P2-SWA,805,11,10,1,9,9,0,0,On final approach at low speed the left wing dropped and touched the ground during a stall or deliberate low left turn. The plane cartwheeled and broke up.,1993,6,9,NA,NA
25/02/1994,19:46,"East Midlands, England",British World Airways,4272,Edinburgh - Coventry,Vickers 813 Viscount,G-OHOT,349,2,0,2,1,0,1,0,"The cargo plane struck trees and high terrain after losing three engines during severe icing. Multiple engine failures occurred as a result of flight in extreme icing conditions. Incomplete performance of the emergency drills by the crew, as a result of not referring to the Emergency Checklist, prejudiced the chances of successful engine re-starts. Crew actions for securing and re-starting the failed engines, which were not in accordance with the operator's procedures, limited the power available. The drag from two unfeathered propellers of the failed engines and the weight of the heavily iced airframe resulted in a loss of height and control before the chosen diversion airfield could be reached. Poor Crew Resource Management reduced the potential for emergency planning, decision making and workload sharing. Consequently, the crew had no contingency plan for the avoidance of the forecast severe icing conditions, and also was unaware of the relative position of a closer diversion airfield which could have been chosen by making more effective use of air traffic services.",1994,2,25,NA,NA
5/08/1994,8:50,"Near Boda, Russia",Military - Russian Air Force,NA,Dzhida - Boda,Antonov AN-12,NA,NA,47,41,6,47,41,6,0,Crashed and burned while attempting to land with an engine fire in poor visibility and heavy rain.,1994,8,5,NA,NA
30/09/1994,11:10,"Chaibukha, Russia",Arsenyev Aviation Production Association,NA,Chaibukha - Provedenia,Antonov AN-8,RA-27209,OA-3460,20,13,7,8,3,5,0,"The cargo plane failed to gain altitude, overran the runway and crashed. Crew error.",1994,9,30,NA,NA
17/12/1994,10:30,"Cerro Aicha, Venezuela",Servivensa,NA,NA,Douglas C-47A-10-DK,YV-761C,12476,9,6,3,7,4,3,0,The cargo plane hit trees and crashed short of the runway while attempting to land.,1994,12,17,NA,NA
16/06/1995,14:15,"Herputchi, Russia",Aeroflot,NA,Poliny - Nikolayevsk-on-Amur,Antonov AN-2,RA-07743,1G259-18,14,12,2,13,11,2,0,Flying VOR the plane ran into poor weather and the pilot decided to return however crashed into trees while attempting to land.,1995,6,16,NA,NA
24/09/1995,NA,"Sterligov Cape, Russia",Norilsk Flight Company,NA,Cape Chelyuskin - Sterligov Cope,Mil Mi-8T,RA-24553,98522942,15,10,5,15,10,5,0,Crashed through the ice while attempting to land and sank in shallow water. The weather conditions were below minima and the helicopter exceeded its maximum takeoff weight.,1995,9,24,NA,NA
22/12/1995,NA,"Bagasin, Papua New Guinea",Island Airways,NA,Madang - Bundi,Britten Norman BN-2A-21 Trislander,P2-NAM,207,12,11,1,2,1,1,0,"Diverted from Madang to Bagasin, overran the runway and crashed.",1995,12,22,NA,NA
11/05/1996,13:15,"Oumba, Papua New Guinea",Milne Bay Air,NA,Menyamya - Marakawa,Britten Norman BN-2A-20 Trislander,P2-ISD,582,10,9,1,1,1,0,0,Crashed into a ridge line shrouded in clouds while en route.,1996,5,11,NA,NA
19/05/1996,23:36,"Griesta, United Kingdom",Loganair,NA,Inverness - Lerwick,Britten-Norman BN-2A-26 Islander,G-BEDZ,544,3,2,1,3,2,1,0,Crashed during a second attempt at landing,1996,5,19,NA,NA
16/04/1997,NA,"Near Sorei, Niger",Military - Niger Air Force,NA,Lome - Niamey,Lockheed C-130H Hercules,5U-MBD,4829,14,NULL,NULL,14,NULL,NULL,0,Crashed after an engine fire.,1997,4,16,NA,NA
13/12/1997,17:05,"La Veriente, Bolivia",STAP,NA,Villamontes - Santa Cruz,Swearingen SA-226T Metro II,CP-1635,TC-359,19,17,2,10,9,1,0,"During take off, shortly after the landing gear was retracted, one of the aircraft's engines lost power and the propeller autofeathered. The aircraft rolled to the right, struck trees and crashed inverted.",1997,12,13,NA,NA
25/05/1998,10:20,"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,NA,Vientiane - Xiang Khoang,Yakovlev YAK-40,34001,9431835,26,20,6,26,20,6,0,"The aircraft struck a jungle covered mountain at 1,800m, after making a premature descent to land during a heavy rainstorm.",1998,5,25,NA,NA
24/08/1998,8:35,"Manibagi, Myanmar",Myanmar Airways,635,Rangoon - Tachilek,Fokker F-27 Friendship 600,XY-AEN,10476,44,40,4,44,40,4,0,"The aircraft was on a flight from Rangoon to Tachilek when it was diverted to Heho due to poor weather conditions. After the aircraft was reported missing, wreckage was found on Payakha Mountain, near Manibagi. It was five days before officials announced that the plane had crashed as an effort was made to hide the accident. There are reports that some survived the crash, only to be tortured and  murdered by nearby villagers who thought it was a military plane.",1998,8,24,NA,NA
3/05/2000,NA,"Kurupung, Guyana",Trans Guyana Airways,NA,NA,Britten-Norman BN-2A-9 Islander,8R-GAC,694,1,0,1,1,0,1,0,The cargo plane crashed into a cloud covered mountain.,2000,5,3,NA,NA
27/07/2000,10:31,"Jodhura, Nepal",Royal Nepal Airlines,NA,Bajhang - Dhangadhi,de Havilland Canada DHC-6 Twin Otter 300,9N-ABP,654,25,22,3,25,22,3,0,"The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog.",2000,7,27,NA,NA
2/09/2000,NA,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,NA,NA,Douglas C-47,FAC1659,32984,7,0,7,7,0,7,0,Flew into Mt. Montezuma.,2000,9,2,NA,NA
4/04/2001,NA,"Adar Yeil, Sudan",Military - Sudan Air Force,NA,Adar Yeil - Khartoum,Antonov AN-24,NA,NA,30,NULL,NULL,14,NULL,NULL,0,"The aircraft crashed on takeoff during a sandstorm, killing Sudan's deputy defense minister and 13 high-ranking military officers.",2001,4,4,NA,NA
23/08/2001,NA,"Mugogo, Democratic Republic Congo",Victoria Airlines,NA,Kama - Kapmene,Antonov 28,3C-LLA,1AJ005-22,11,9,2,4,2,2,0,After an engine failed the crew declared an emergency and elected to divert to Bukavu but crashed 10 km short of the airport.,2001,8,23,NA,NA
16/07/2002,NA,"Near Long Barai, Indonesia",Sabang Merauke Raya Air Charter,NA,Tarakan - Krayan,Britten-Norman BN-2A Islander,PK-TAR,860,10,8,2,10,8,2,0,"Air traffic control lost contact with the aircraft 15 minutes before it was scheduled to land. The wreckage was found atop a 5,300 ft. mountain, surrounded by thick jungle, 5 miles from its destination.",2002,7,16,NA,NA
25/06/2003,13:00,"Near Rudshour, Iran",Military - Islamic Republic of Iran Air Force,NA,NA,Lockheed C-130 Hercules,NA,NA,7,0,7,7,0,7,0,Nose dived into the ground shortly after takeoff near the Shur River.,2003,6,25,NA,NA
2/11/2003,9:00,"Near Hasi, Iraq",Military - U.S. Army,-,Fallujah - Baghdad,CH-47 Chinook,NA,NA,36,34,2,15,15,0,0,The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.,2003,11,2,NA,NA
6/02/2004,8:01,"Bitonja, Bosnia-Herzegovina",Military - Government of Macedonia,NA,Skopje - Mostar,Beechcraft Super King Air 200,Z3-BAB,BB-652,9,7,2,9,7,2,0,"The twin engine aircraft crashed in the southern mountains of Bosnia in poor weather conditions, minutes away from landing at Mostar. Macedonian president, Boris Trajkovski, 47, killed along with 6 aids. Pilot error. The two-man crew misinterpreted crucial flight data in stormy weather.",2004,2,6,NA,NA
6/05/2004,15:00,"Jiech, Sudan",Charter - Air Cush,NA,Jiech - Ayod,Let 410UVP,9XR-DC,NA,10,8,2,6,5,1,0,"The plane crashed just seconds after taking off. It was on a mission of delivering humanitarian aid in Sudan. The cargo shifted after takeoff, causing the cg to change and the plane to stall and crash.",2004,5,6,NA,NA
22/02/2005,13:22,"Bimin, Papua, New Guinea",Missionary Aviation Fellowship,NA,Tabubil - Bimin,de Havilland DHC-6 Twin Otter 300,P2-MFQ,174,13,10,3,2,0,2,0,While on approach to Runway 29 the aircraft crashed on a mountain.,2005,2,22,NA,NA
31/03/2005,20:00,"Near Rovie, Albania",Military - U.S. Air Force,NA,Training,Lockheed Hercules MC-130H,87-0127,5118,9,0,9,9,0,9,0,While on a training mission the aircraft crashed into a mountainous area and was destroyed.,2005,3,31,NA,NA
22/10/2005,20:40,"Lisa, Nigeria",Bellview Airlines,3210,Lagos - Abuja,Boeing B-737-2L9,5N-BFN,22734/818,117,111,6,117,111,6,0,"The tower lost sight and contact with the plane about five minutes after taking off from Murtala Muhammad International  airport. The plane crashed about 30 miles north of Lagos.  A storm was passing through the airport at about the time the aircraft took off. A combination of poor maintenance of the plane by the ground crew together with a lightning strike to the right wing of the plane caused the right engine to ignite, causing the aircraft to bank heavily to the left and eventually lose control.",2005,10,22,NA,NA
8/01/2006,13:00,"Bukalaza, Uganda",Service Air,NA,Entebbe - Kinshasa,Antonov 12,9Q-CIH,4341803,6,0,6,6,0,6,0,The cargo plane carrying humanitarian relief items crashed shortly after takeoff. The cause was determined to be engine failure and an overweight and improperly balanced plane.,2006,1,8,NA,NA
6/08/2008,11:40,"Sunat Tanon, Thailand",Military - Royal Thai Air Force,NA,Betong - ?,Bell Huey UH-1H,NA,NA,10,8,2,10,8,2,0,The helicopter crashed while ferrying a forensic team to the site of a gun battle between Muslim rebels and security forces. The aircraft suffered engine failure and crashed into the side of a hill.,2008,8,6,NA,NA
29/04/2009,6:00,"Massamba, Democratic Republic of Congo",Bako Air,NA,"Bangui, CAR- Brazzaville, Congo - Harare, Zimbabwe",Boeing B-737-200,TL-ADM ,22264/753,7,5,2,7,5,2,0,Crashed while en route on a ferrying flight. The plane had not been flown for a year.,2009,4,29,NA,NA
2/08/2009,10:25,"Ampisibil Village, Indonesia",Merpati Nusantara Airlines,9760D,Jayapura - Oksibil,de Havilland Canada DHC-6 Twin Otter 300,PK-NVC,626,16,13,3,16,13,3,0,"Contact was lost with the aircraft 15 minutes after taking off. Debris was found in the Bintang mountains at an elevation of 9,300 feet. The crew did not maintain visual flight procedures when flying below lowest safe altitude, and the aircraft was flown into cloud in the vicinity of gap north west of Oksibil. The accident was consistent with controlled flight into terrain.",2009,8,2,NA,NA
15/05/2010,15:10,"Near Poeketi, Suriname",Blue Wings Airlines,NA,Godo Holo Air Strip - Paramaribo,Antonv An-28,PZ-TSV,1AJ007-10,8,6,2,8,6,2,0,"The plane crashed during poor weather into a forest ,10 minutes after taking off from Godo Olo Air Strip.",2010,5,15,NA,NA
19/06/2010,10:00,"Yangadou, Cameroon",Aero Service,NA,Yaoundé-Nsimalen - Yangadou Mine Airstrip,CASA 212 Aviocar,TN-AFA ,151,11,9,2,11,9,2,0,The plane crashed in a remote area on the Cameroon / Congo border. The plane was carrying executives of the mining company Sundance Resources.,2010,6,19,NA,NA
4/09/2010,1:15,Fox Glacier Airstrip,Sky Dive New Zealand,NA,Fox Glacier Airstrip - Fox Glacier Airstrip,Fletcher FU-24-954,ZK-EUF,281,9,8,1,9,8,1,0,"Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane.",2010,9,4,NA,NA
21/10/2010,NA,"Near Bugulumisa, Congo",Tracep,NA,Bukavu - Shabund,Let 410UVP,9Q-CUA,X0101,2,0,2,2,0,2,0,The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.,2010,10,21,NA,NA
15/12/2010,15:30,"Palunge Hill, Nepal",Tara Air,NA,Lamidanda - Kathmandu,de Havilland Canada DHC-6 Twin Otter,9N-AFX,806,22,19,3,22,19,3,0,The plane crashed into Palunge Hill after its right wing clipped the mountaintop while en route.,2010,12,15,NA,NA
6/08/2011,NA,"Tangi Valley, Afghanistan",Military - U.S. Army,NA,NA,Boeing CH-47 Chinook,NA,NA,38,NULL,NULL,38,NULL,NULL,0,"Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents.",2011,8,6,NA,NA
31/10/2015,6:13,"Near Hasna, Egypt",Metrojet,9268,Sharem el Sheikh - St. Petersburg,Airbus A321-231,EI-ETJ,663,224,217,7,224,217,7,0,"Approximate 25 minutes after taking off from Sharem el Sheikh airport, radar contact was lost with the airliner. Wreckage was found near Hasna in the north Sinai. The aircraft was flying at about 30,000 feet when contact with the plane was lost. The aircraft was brought down by a homemade explosive device in the left rear cargo hold. The improvised device was equivalent to 2.2 lbs of TNT.",2015,10,31,NA,NA
19/05/2016,2:49,175 miles off the Egyptian coast,EgyptAir,804,Paris - Cairo,Airbus A320-232,SU-GCC,2088,66,56,10,66,56,10,0,"The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident, it is confirmed that ACARS messages reported smoke on board, apparently in the lavatory and also in a technical compartment located under the cockpit.",2016,5,19,NA,NA
25/12/2016,5:27,"Near Adar, Russia",Russian Air Force,NA,Chkalovsky AB -Ader - Latakia,Tupolev 154B-2,RA-85572,83A-572,92,84,8,92,84,8,0,"The plane, carrying the Alexandrov Emsemble choir, reporters and service men, made a climbout out of Ader, turned back towards the coastline and crashed into the waters of the Black Sea about a mile offshore.",2016,12,25,NA,NA
29/01/2018,NA,"Zhengchang, Suiyang County, Guizhou Province",People's Liberation Army Air Force,NA,Training,Shaanxi Y-8GX-3,30513,NA,12,7,5,12,7,5,0,"While completing a training mission, the airplane crashed in unknown circumstances near the Zhengchang village, in the Guizhou Province.",2018,1,29,NA,NA
18/02/2018,9:32,"Kohangan village, Iran",Iran Aseman Airlines,EP3704,Tehran - Yasuj,ATR 72-212,EP-ATS,391,66,60,6,66,60,6,0,"The airliner was on approach to Yasuj Airport and descending when it crashed into Mt. Dena, 14 miles north of the airport. Poor weather with fog was reported at the time of the accident.  The crew action which caused dangerous conditions for the flight.  Continuing to the Yasouj airport for landing against the operation manual of the company, due to low altitude ceiling of the cloud and related cloud mass. Descending to unauthorized altitude below minimum of the route and MSA.",2018,2,18,NA,NA
9/03/2019,10:40,"Vereda La Bendicion, Colombia",Laser Aereo Colombia,NA,San Jose - Villavicencio,Douglas DC-3,HK-2494,:33105/16357,14,11,3,14,11,3,0,"While on approach to land, the crew contacted ATC and declared an emergency after which the airplane crashed in flames in a palm grove, 35 km south of La Vanguardia Airport. The crew reported engine problems.",2019,3,9,NA,NA
